sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost,kappa
7.000000e+00,4.608000e-07,1.000000e-07,8.831000e+19,9.832000e-08,1.335000e-06,2.791000e-04,9.703173e-01,2.708156e-01,4.861566e+01,7.867117e+03,2.062302e+01,1.823951e+00,
8.400000e+01,4.809227e-07,1.000000e-07,1.481949e+19,7.023525e-07,1.263290e-06,2.828569e-04,9.839347e-01,2.783128e-01,4.434942e+01,1.179932e+04,2.413733e+01,1.529374e+00,
5.500000e+01,3.825000e-07,7.000000e-08,4.005000e+19,6.049000e-07,1.321000e-06,3.010000e-04,9.575402e-01,2.882196e-01,4.329919e+01,7.570275e+03,2.441941e+01,1.464264e+00,
4.800000e+01,4.092000e-07,7.000000e-08,8.219000e+19,4.146000e-07,1.275000e-06,3.219000e-04,9.406697e-01,3.028016e-01,3.813714e+01,5.770628e+03,2.730430e+01,1.155013e+00,
4.400000e+01,4.954000e-07,1.000000e-07,8.555000e+19,5.214000e-07,1.345000e-06,4.657000e-04,9.134596e-01,4.253981e-01,2.676588e+01,6.976855e+03,3.644511e+01,6.639839e-01,
1.140000e+02,4.863203e-07,1.100000e-07,8.947863e+18,1.426614e-07,1.263391e-06,5.073518e-04,9.122627e-01,4.628381e-01,2.282408e+01,7.859528e+03,4.263287e+01,5.406575e-01,
4.700000e+01,3.537000e-07,1.000000e-07,6.761000e+19,4.759000e-07,1.267000e-06,5.178000e-04,9.038860e-01,4.680322e-01,2.250665e+01,6.184665e+03,3.872421e+01,5.332498e-01,
1.460000e+02,3.781192e-07,1.100000e-07,2.245010e+19,7.039504e-07,1.269382e-06,5.294466e-04,9.015039e-01,4.772982e-01,2.170827e+01,7.879027e+03,4.388431e+01,5.129061e-01,
1.470000e+02,4.266413e-07,7.000000e-08,1.000000e+20,3.559525e-07,1.260000e-06,5.564498e-04,8.802934e-01,4.898391e-01,2.056630e+01,3.439815e+03,4.835706e+01,4.851891e-01,
1.090000e+02,4.452368e-07,1.100000e-07,6.950663e+18,5.670118e-07,1.263238e-06,5.552952e-04,9.069303e-01,5.036141e-01,2.029783e+01,7.515484e+03,4.722824e+01,4.865404e-01,
1.240000e+02,4.150311e-07,1.100000e-07,1.870468e+19,8.000000e-07,1.286567e-06,5.801569e-04,8.951790e-01,5.193443e-01,1.987692e+01,7.699426e+03,4.817259e+01,4.851218e-01,
1.850000e+02,3.755730e-07,1.100000e-07,2.170009e+19,7.479855e-07,1.280148e-06,5.817561e-04,8.931456e-01,5.195929e-01,1.972598e+01,7.409114e+03,4.806545e+01,4.808194e-01,
2.000000e+02,3.691885e-07,1.200000e-07,2.785721e+19,6.949945e-07,1.275343e-06,5.910771e-04,8.889586e-01,5.254430e-01,1.933730e+01,7.457956e+03,4.873441e+01,4.737117e-01,
1.220000e+02,3.500000e-07,1.100000e-07,4.754661e+19,6.408043e-07,1.260000e-06,6.022804e-04,8.904406e-01,5.362950e-01,1.909586e+01,6.500432e+03,4.648581e+01,4.748174e-01,
1.860000e+02,4.257532e-07,1.100000e-07,7.231924e+18,7.284893e-07,1.275561e-06,5.967759e-04,9.004546e-01,5.373696e-01,1.893127e+01,7.208874e+03,5.022603e+01,4.709310e-01,
1.690000e+02,3.500000e-07,1.000000e-07,7.330986e+19,5.428036e-07,1.260000e-06,6.127222e-04,8.868486e-01,5.433919e-01,1.852565e+01,5.382923e+03,4.673182e+01,4.640920e-01,
1.350000e+02,4.084582e-07,9.000000e-08,8.405401e+19,3.376123e-07,1.260000e-06,6.388429e-04,8.738758e-01,5.582693e-01,1.755712e+01,3.989697e+03,5.188558e+01,4.493545e-01,
2.020000e+02,4.192050e-07,7.000000e-08,8.659251e+19,3.474381e-07,1.264105e-06,6.527949e-04,8.689995e-01,5.672784e-01,1.719354e+01,3.079457e+03,5.559652e+01,4.469768e-01,
1.530000e+02,4.772860e-07,7.000000e-08,1.000000e+20,4.648645e-07,1.314745e-06,6.790424e-04,8.692021e-01,5.902251e-01,1.718422e+01,3.341623e+03,5.782053e+01,4.653291e-01,
1.680000e+02,4.370959e-07,9.000000e-08,1.000000e+20,3.324528e-07,1.260000e-06,6.840096e-04,8.684702e-01,5.940419e-01,1.624224e+01,3.692071e+03,5.636253e+01,4.448778e-01,
4.900000e+01,4.322000e-07,9.000000e-08,9.135000e+19,1.786000e-07,1.263000e-06,7.005000e-04,8.663718e-01,6.068934e-01,1.607875e+01,3.406015e+03,5.593793e+01,4.517184e-01,
