sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
1.00E+00,4.38E-07,9.00E-08,3.19E+20,3.22E-07,1.27E-06,9.12E-04,8.51E-01,7.76E-01,1.18E+01,2.39E+03,8.62E+01,5.26E-01
2.00E+00,4.74E-07,1.20E-07,8.80E+20,3.61E-07,1.29E-06,1.92E-04,,4.80E-01,7.91E+04,,3.75E-04,3.50E+02
3.00E+00,3.59E-07,1.00E-07,7.39E+19,3.97E-07,1.29E-06,7.10E-04,8.76E-01,6.22E-01,1.63E+01,4.59E+03,5.14E+01,4.69E-01
4.00E+00,4.60E-07,1.20E-07,2.18E+20,6.55E-07,1.29E-06,1.89E-04,,4.72E-01,8.51E+04,,2.92E-01,2.94E+02
5.00E+00,3.72E-07,1.10E-07,6.73E+20,5.35E-07,1.30E-06,1.23E-04,,3.09E-01,6.81E+04,,1.23E-01,3.26E+02
6.00E+00,3.88E-07,1.30E-07,3.07E+20,6.05E-07,1.33E-06,3.75E-04,9.39E-01,3.52E-01,3.38E+01,7.52E+03,3.59E+01,9.43E-01
7.00E+00,3.93E-07,7.00E-08,1.44E+20,6.38E-07,1.35E-06,6.80E-04,8.71E-01,5.93E-01,1.76E+01,3.26E+03,6.02E+01,4.78E-01
8.00E+00,4.32E-07,1.10E-07,8.65E+19,5.03E-07,1.35E-06,7.92E-04,,1.98E+00,6.49E+04,,3.13E+00,3.50E+01
9.00E+00,4.25E-07,1.00E-07,5.16E+20,4.23E-07,1.31E-06,5.51E-04,8.91E-01,4.91E-01,2.18E+01,3.85E+03,5.23E+01,5.24E-01
1.00E+01,4.49E-07,1.10E-07,8.25E+20,6.19E-08,1.36E-06,7.71E-04,,1.93E+00,6.31E+04,,4.52E-03,3.49E+02
1.10E+01,4.88E-07,9.00E-08,3.34E+20,6.93E-07,1.27E-06,5.92E-04,8.83E-01,5.22E-01,1.94E+01,4.22E+03,5.85E+01,4.72E-01
1.20E+01,4.77E-07,1.20E-07,5.78E+20,5.33E-07,1.26E-06,8.44E-04,,2.11E+00,9.15E+04,,3.24E-03,3.49E+02
1.30E+01,3.91E-07,1.20E-07,2.62E+20,7.01E-07,1.28E-06,8.54E-04,,2.14E+00,8.91E+04,,3.01E-01,2.93E+02
