sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
1.000000e+00,3.572000e-07,1.014000e-07,9.111000e+17,6.531000e-07,1.321000e-06,4.762000e-04,1.018728e+00,4.851185e-01,2.556856e+01,4.963333e+03,3.238181e+01,4.919608e+01
2.000000e+00,4.957000e-07,1.077000e-07,2.738000e+17,6.279000e-07,1.306000e-06,3.715000e-04,1.120538e+00,4.162800e-01,3.321169e+01,4.352101e+03,2.157722e+01,8.284753e+01
3.000000e+00,3.716000e-07,7.826000e-08,4.194000e+17,7.672000e-07,1.328000e-06,6.051000e-04,,,,,2.405813e+00,1.000000e+09
4.000000e+00,3.603000e-07,1.100000e-07,4.547000e+17,1.904000e-08,1.354000e-06,3.355000e-04,1.668230e+00,5.596911e-01,6.660551e+04,8.707125e+03,1.786559e+02,3.327220e+08
5.000000e+00,4.080000e-07,9.664000e-08,5.949000e+17,5.737000e-07,1.329000e-06,1.277000e-04,1.529975e+00,1.953779e-01,1.175104e+02,6.974765e+03,8.649804e+00,1.035678e+03
6.000000e+00,3.516000e-07,9.706000e-08,3.560000e+17,2.621000e-07,1.311000e-06,1.708000e-04,1.470112e+00,2.510951e-01,8.361740e+01,5.506237e+03,1.023614e+01,5.244344e+02
7.000000e+00,4.297000e-07,1.001000e-07,6.238000e+17,5.566000e-07,1.302000e-06,9.872000e-04,8.946637e-01,8.832120e-01,1.060668e+01,2.689740e+03,6.986954e+01,8.983669e+00
8.000000e+00,4.564000e-07,7.549000e-08,8.384000e+17,7.798000e-07,1.294000e-06,7.753000e-04,,,,,2.504275e+00,1.000000e+09
9.000000e+00,3.632000e-07,1.217000e-07,2.259000e+17,3.677000e-07,1.323000e-06,5.814000e-04,2.445470e+00,1.421796e+00,7.869237e+04,9.396769e+03,3.371002e+00,4.644367e+08
1.000000e+01,3.921000e-07,1.162000e-07,8.194000e+17,2.806000e-07,1.269000e-06,2.268000e-04,1.162006e+00,2.635429e-01,5.729778e+01,8.316909e+03,1.859166e+01,2.462763e+02
1.100000e+01,4.398000e-07,1.178000e-07,9.618000e+17,7.300000e-07,1.316000e-06,3.589000e-04,,,,,1.890924e+00,1.000000e+09
1.200000e+01,4.462000e-07,1.278000e-07,5.083000e+17,6.205000e-07,1.345000e-06,1.354000e-04,2.203519e+00,2.983565e-01,9.784229e+03,1.127794e+04,4.126545e+00,7.179835e+06
1.300000e+01,3.726000e-07,9.158000e-08,1.112000e+17,8.234000e-08,1.319000e-06,6.389000e-04,1.033697e+00,6.604292e-01,1.775025e+01,2.295460e+03,2.992993e+01,2.393567e+01
