sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
1.0,3.572e-07,1.014e-07,9.111e+17,6.531e-07,1.321e-06,0.0004762,1.018728,0.4851185,25.56856,4963.333,32.38181,49.19608
2.0,4.957e-07,1.077e-07,2.738e+17,6.279e-07,1.306e-06,0.0003715,1.120538,0.41628,33.21169,4352.101,21.57722,82.84753
3.0,3.716e-07,7.826e-08,4.194e+17,7.672e-07,1.328e-06,0.0006051,,,,,2.405813,1000000000.0
4.0,3.603e-07,1.1e-07,4.547e+17,1.904e-08,1.354e-06,0.0003355,1.66823,0.5596911,66605.51,8707.125,178.6559,332722000.0
5.0,4.08e-07,9.664e-08,5.949e+17,5.737e-07,1.329e-06,0.0001277,1.529975,0.1953779,117.5104,6974.765,8.649804,1035.678
6.0,3.516e-07,9.706e-08,3.56e+17,2.621e-07,1.311e-06,0.0001708,1.470112,0.2510951,83.6174,5506.237,10.23614,524.4344
7.0,4.297e-07,1.001e-07,6.238e+17,5.566e-07,1.302e-06,0.0009872,0.8946637,0.883212,10.60668,2689.74,69.86954,8.983669
8.0,4.564e-07,7.549e-08,8.384e+17,7.798e-07,1.294e-06,0.0007753,,,,,2.504275,1000000000.0
9.0,3.632e-07,1.217e-07,2.259e+17,3.677e-07,1.323e-06,0.0005814,2.44547,1.421796,78692.37,9396.769,3.371002,464436700.0
10.0,3.921e-07,1.162e-07,8.194e+17,2.806e-07,1.269e-06,0.0002268,1.162006,0.2635429,57.29778,8316.909,18.59166,246.2763
11.0,4.398e-07,1.178e-07,9.618e+17,7.3e-07,1.316e-06,0.0003589,,,,,1.890924,1000000000.0
12.0,4.462e-07,1.278e-07,5.083e+17,6.205e-07,1.345e-06,0.0001354,2.203519,0.2983565,9784.229,11277.94,4.126545,7179835.0
13.0,3.726e-07,9.158e-08,1.112e+17,8.234e-08,1.319e-06,0.0006389,1.033697,0.6604292,17.75025,2295.46,29.92993,23.93567
