sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
1.000000e+00,3.572000e-07,1.014000e-07,9.111000e+17,6.531000e-07,1.321000e-06,4.762000e-04,1.018728e+00,4.851185e-01,2.556856e+01,4.963333e+03,3.238181e+01,True,1.634378e+02,2.353399e-01,4.919608e+01,2.076739e+02,1.246290e+02,3.497192e+02,1.663400e-06,1.829606e-04,3.805133e+02,5.962436e-01,9.948859e+03
2.000000e+00,4.957000e-07,1.077000e-07,2.738000e+17,6.279000e-07,1.306000e-06,3.715000e-04,1.120538e+00,4.162800e-01,3.321169e+01,4.352101e+03,2.157722e+01,True,2.757541e+02,1.732890e-01,8.284753e+01,2.075202e+02,1.244996e+02,3.469031e+02,1.751500e-06,3.241496e-06,3.098735e+02,5.780718e-01,7.893265e+03
3.000000e+00,3.716000e-07,7.826000e-08,4.194000e+17,7.672000e-07,1.328000e-06,6.051000e-04,,,,,2.405813e+00,False,,,1.000000e+09,1.706586e+02,1.247239e+02,3.101545e+02,1.906000e-06,8.051025e+04,8.051396e+04,5.208742e-01,5.170045e+03
4.000000e+00,3.603000e-07,1.100000e-07,4.547000e+17,1.904000e-08,1.354000e-06,3.355000e-04,1.668230e+00,5.596911e-01,6.660551e+04,8.707125e+03,1.786559e+02,True,1.109073e+09,3.132541e-01,3.327220e+08,2.243463e+02,1.296153e+02,3.691563e+02,3.983800e-07,6.658019e+04,6.776047e+04,1.211101e+00,1.106798e+04
5.000000e+00,4.080000e-07,9.664000e-08,5.949000e+17,5.737000e-07,1.329000e-06,1.277000e-04,1.529975e+00,1.953779e-01,1.175104e+02,6.974765e+03,8.649804e+00,True,3.452171e+03,3.817251e-02,1.035678e+03,2.021671e+02,1.252025e+02,3.422252e+02,1.555400e-06,2.071094e-05,3.770366e+02,6.143272e-01,8.613912e+03
6.000000e+00,3.516000e-07,9.706000e-08,3.560000e+17,2.621000e-07,1.311000e-06,1.708000e-04,1.470112e+00,2.510951e-01,8.361740e+01,5.506237e+03,1.023614e+01,True,1.747967e+03,6.304875e-02,5.244344e+02,2.132139e+02,1.244688e+02,3.523253e+02,8.758000e-07,6.772274e-03,3.264139e+02,8.335035e-01,8.444848e+03
7.000000e+00,4.297000e-07,1.001000e-07,6.238000e+17,5.566000e-07,1.302000e-06,9.872000e-04,8.946637e-01,8.832120e-01,1.060668e+01,2.689740e+03,6.986954e+01,True,2.812541e+01,7.800634e-01,8.983669e+00,2.087974e+02,1.251748e+02,3.487692e+02,1.542900e-06,1.581241e-05,3.872618e+02,6.214166e-01,9.234538e+03
8.000000e+00,4.564000e-07,7.549000e-08,8.384000e+17,7.798000e-07,1.294000e-06,7.753000e-04,,,,,2.504275e+00,False,,,1.000000e+09,1.703277e+02,1.248808e+02,3.093163e+02,2.016000e-06,9.460863e+04,9.463129e+04,5.057676e-01,6.225807e+03
9.000000e+00,3.632000e-07,1.217000e-07,2.259000e+17,3.677000e-07,1.323000e-06,5.814000e-04,2.445470e+00,1.421796e+00,7.869237e+04,9.396769e+03,3.371002e+00,True,1.548122e+09,2.021505e+00,4.644367e+08,2.158830e+02,1.265831e+02,3.574559e+02,1.098600e-06,7.867017e+04,7.869393e+04,7.755876e-01,9.412356e+03
1.000000e+01,3.921000e-07,1.162000e-07,8.194000e+17,2.806000e-07,1.269000e-06,2.268000e-04,1.162006e+00,2.635429e-01,5.729778e+01,8.316909e+03,1.859166e+01,True,8.207589e+02,6.945484e-02,2.462763e+02,2.230084e+02,1.272223e+02,3.649005e+02,9.533000e-07,9.848515e-03,4.457228e+02,8.487906e-01,1.257938e+04
1.100000e+01,4.398000e-07,1.178000e-07,9.618000e+17,7.300000e-07,1.316000e-06,3.589000e-04,,,,,1.890924e+00,False,,,1.000000e+09,2.144933e+02,1.250284e+02,3.542233e+02,1.899800e-06,8.146449e+04,8.148830e+04,5.682942e-01,1.218602e+04
1.200000e+01,4.462000e-07,1.278000e-07,5.083000e+17,6.205000e-07,1.345000e-06,1.354000e-04,2.203519e+00,2.983565e-01,9.784229e+03,1.127794e+04,4.126545e+00,True,2.393278e+07,8.901657e-02,7.179835e+06,2.162882e+02,1.251651e+02,3.555241e+02,1.687200e-06,9.490447e+03,9.875505e+03,6.198988e-01,1.156059e+04
1.300000e+01,3.726000e-07,9.158000e-08,1.112000e+17,8.234000e-08,1.319000e-06,6.389000e-04,1.033697e+00,6.604292e-01,1.775025e+01,2.295460e+03,2.992993e+01,True,7.876783e+01,4.361667e-01,2.393567e+01,1.920168e+02,1.247424e+02,3.316640e+02,5.372800e-07,2.397780e-03,2.448623e+02,9.829265e-01,5.508555e+03
1.400000e+01,4.851000e-07,7.935000e-08,4.403000e+17,4.977000e-07,1.273000e-06,8.049000e-04,,,,,1.273124e+00,False,,,1.000000e+09,1.735171e+02,1.327087e+02,3.211324e+02,1.480500e-06,1.124293e+05,1.124378e+05,6.138179e-01,6.066486e+03
1.500000e+01,4.686000e-07,9.542000e-08,3.883000e+17,2.229000e-07,1.270000e-06,2.128000e-04,1.291645e+00,2.748621e-01,6.161761e+01,4.973683e+03,1.462402e+01,True,9.491826e+02,7.554920e-02,2.848077e+02,2.023513e+02,1.307002e+02,3.504062e+02,9.144000e-07,5.471822e-04,3.639285e+02,8.226102e-01,8.704781e+03
1.600000e+01,4.733000e-07,1.268000e-07,2.990000e+17,6.006000e-07,1.284000e-06,7.723000e-04,1.401642e+00,1.082488e+00,1.024996e+04,7.830994e+03,2.012154e+01,True,2.626544e+07,1.171781e+00,7.879633e+06,2.185255e+02,1.265343e+02,3.598780e+02,1.674500e-06,1.019543e+04,1.052928e+04,6.169797e-01,9.920393e+03
1.700000e+01,3.650000e-07,1.139000e-07,6.396000e+17,1.261000e-08,1.300000e-06,5.610000e-04,,,,,9.035238e-01,False,,,1.000000e+09,2.278977e+02,1.328316e+02,3.755780e+02,3.902200e-07,9.369932e+04,9.370033e+04,1.246901e+00,1.224132e+04
1.800000e+01,4.328000e-07,8.567000e-08,1.506000e+17,6.576000e-07,1.265000e-06,3.469000e-04,,,,,2.067240e-01,False,,,1.000000e+09,1.797671e+02,1.365733e+02,3.313380e+02,1.748000e-06,1.200146e+05,1.200170e+05,5.493284e-01,4.713180e+03
1.900000e+01,3.677000e-07,1.082000e-07,9.538000e+17,4.521000e-07,1.277000e-06,8.857000e-04,8.916125e-01,7.897012e-01,1.185660e+01,3.487713e+03,7.089916e+01,True,3.514472e+01,6.236280e-01,1.097996e+01,2.218581e+02,1.286391e+02,3.649753e+02,1.271900e-06,2.890281e-03,4.368973e+02,7.115118e-01,1.148812e+04
2.000000e+01,3.985000e-07,1.290000e-07,4.721000e+17,2.793000e-07,1.289000e-06,9.452000e-04,1.302725e+00,1.231336e+00,1.008231e+04,9.083844e+03,3.017693e+01,True,2.541324e+07,1.516187e+00,7.623974e+06,2.268466e+02,1.266983e+02,3.683056e+02,9.571000e-07,1.003813e+04,1.043874e+04,8.617510e-01,1.251514e+04
2.100000e+01,4.128000e-07,9.060000e-08,7.995000e+17,7.475000e-07,1.352000e-06,8.194000e-04,9.189904e-01,7.530207e-01,1.371237e+01,3.073914e+03,5.435433e+01,True,4.700729e+01,5.670402e-01,1.449911e+01,1.917623e+02,1.254975e+02,3.313700e+02,1.907800e-06,5.368018e-06,3.754288e+02,5.372737e-01,8.035670e+03
2.200000e+01,4.831000e-07,1.112000e-07,8.653000e+17,3.304000e-07,1.299000e-06,1.960000e-04,,,,,2.737918e-01,False,,,1.000000e+09,2.209119e+02,1.306776e+02,3.665034e+02,1.143900e-06,9.419733e+04,9.419749e+04,7.650506e-01,1.206485e+04
2.300000e+01,4.988000e-07,1.051000e-07,8.612000e+17,5.456000e-07,1.317000e-06,6.560000e-04,9.436649e-01,6.190442e-01,1.719111e+01,4.272738e+03,4.935331e+01,True,7.388354e+01,3.832157e-01,2.243331e+01,2.122070e+02,1.266249e+02,3.536781e+02,1.590000e-06,2.017458e-05,4.207589e+02,6.207565e-01,1.072064e+04
2.400000e+01,4.892000e-07,1.242000e-07,5.278000e+17,3.043000e-07,1.348000e-06,6.401000e-04,1.951028e+00,1.248853e+00,6.835295e+04,1.214325e+04,7.096996e+00,True,1.168031e+09,1.559634e+00,3.504094e+08,2.242895e+02,1.307713e+02,3.694290e+02,1.097800e-06,6.833198e+04,6.837831e+04,7.975453e-01,1.227410e+04
2.500000e+01,3.540000e-07,1.237000e-07,6.910000e+17,4.028000e-07,1.340000e-06,8.569000e-04,1.808342e+00,1.549568e+00,7.084670e+04,1.249999e+04,9.261153e+00,True,1.254814e+09,2.401161e+00,3.764441e+08,2.241777e+02,1.286696e+02,3.676762e+02,1.159600e-06,7.083069e+04,7.087595e+04,7.701459e-01,1.267997e+04
2.600000e+01,4.491000e-07,1.193000e-07,2.489000e+17,1.085000e-07,1.325000e-06,2.640000e-04,,,,,1.436593e+00,False,,,1.000000e+09,2.241138e+02,1.287360e+02,3.678643e+02,6.661000e-07,7.790353e+04,7.792718e+04,9.986535e-01,1.028584e+04
2.700000e+01,4.511000e-07,9.802000e-08,1.624000e+17,2.444000e-07,1.285000e-06,9.802000e-04,9.289905e-01,9.105965e-01,1.039328e+01,2.151297e+03,5.250300e+01,True,2.700507e+01,8.291860e-01,8.681951e+00,2.064452e+02,1.286380e+02,3.499489e+02,9.399000e-07,1.740826e-04,2.771738e+02,7.962139e-01,6.802577e+03
2.800000e+01,4.549000e-07,1.225000e-07,8.239000e+17,4.808000e-07,1.268000e-06,9.250000e-04,8.836184e-01,8.173470e-01,1.119739e+01,3.944854e+03,7.338440e+01,True,3.134537e+01,6.680562e-01,9.871251e+00,2.266388e+02,1.295864e+02,3.711981e+02,1.416500e-06,8.214096e-04,4.289503e+02,6.889597e-01,1.298681e+04
2.900000e+01,3.959000e-07,7.338000e-08,2.124000e+17,3.797000e-07,1.349000e-06,4.222000e-04,,,,,1.373751e+00,False,,,1.000000e+09,1.737194e+02,1.252431e+02,3.138499e+02,1.155300e-06,6.998123e+04,6.999870e+04,6.862758e-01,4.412777e+03
3.000000e+01,3.754000e-07,8.769000e-08,4.013000e+17,3.373000e-07,1.355000e-06,9.579000e-04,1.994806e+00,1.910825e+00,6.822189e+04,6.722058e+03,6.436131e+00,True,1.163557e+09,3.651252e+00,3.490670e+08,1.899913e+02,1.265626e+02,3.307759e+02,1.050000e-06,6.820840e+04,6.823496e+04,7.513353e-01,7.323952e+03
3.100000e+01,4.812000e-07,1.207000e-07,5.620000e+17,5.246000e-08,1.290000e-06,7.025000e-04,9.313608e-01,6.542810e-01,1.559271e+01,4.501957e+03,5.551059e+01,True,6.078316e+01,4.280836e-01,1.853461e+01,2.297824e+02,1.309317e+02,3.748532e+02,5.861200e-07,5.284135e-02,4.356682e+02,1.089422e+00,1.276999e+04
3.200000e+01,4.238000e-07,1.108000e-07,9.066000e+17,6.058000e-08,1.334000e-06,3.180000e-04,1.783771e+00,5.672391e-01,7.576933e+04,1.221341e+04,2.012333e+01,True,1.435248e+09,3.217602e-01,4.305744e+08,2.324902e+02,1.267954e+02,3.741649e+02,5.449600e-07,7.285156e+04,7.618311e+04,1.103762e+00,1.265629e+04
3.300000e+01,4.917000e-07,8.486000e-08,7.522000e+17,3.952000e-08,1.292000e-06,4.103000e-04,,,,,2.551116e+00,False,,,1.000000e+09,1.881465e+02,1.415790e+02,3.445695e+02,5.707400e-07,9.952693e+04,9.952767e+04,1.029046e+00,8.823263e+03
3.400000e+01,4.410000e-07,7.159000e-08,3.275000e+17,1.375000e-07,1.296000e-06,4.938000e-04,1.027119e+00,5.071916e-01,2.351739e+01,2.560792e+03,2.884862e+01,True,1.382670e+02,2.572433e-01,4.166016e+01,1.805487e+02,1.285450e+02,3.235641e+02,7.160000e-07,2.759152e-04,3.086902e+02,8.806788e-01,5.349413e+03
3.500000e+01,3.929000e-07,8.064000e-08,9.291000e+17,1.868000e-07,1.283000e-06,3.010000e-04,,,,,9.998964e-01,False,,,1.000000e+09,1.827739e+02,1.327133e+02,3.295708e+02,7.665000e-07,1.035128e+05,1.035311e+05,8.818799e-01,8.077210e+03
3.600000e+01,4.798000e-07,8.928000e-08,7.854000e+17,1.775000e-07,1.314000e-06,8.674000e-04,1.941823e+00,1.684338e+00,8.615245e+04,9.070119e+03,6.756964e+00,True,1.855561e+09,2.836993e+00,5.566683e+08,1.966462e+02,1.255468e+02,3.363838e+02,8.348000e-07,8.615141e+04,8.615435e+04,8.651881e-01,9.302475e+03
3.700000e+01,4.724000e-07,7.240000e-08,6.708000e+17,5.643000e-07,1.287000e-06,2.415000e-04,,,,,4.820775e-01,False,,,1.000000e+09,1.703432e+02,1.386754e+02,3.233278e+02,1.601000e-06,1.012881e+05,1.013016e+05,5.800012e-01,5.806541e+03
3.800000e+01,4.592000e-07,8.801000e-08,1.332000e+17,4.336000e-07,1.332000e-06,1.568000e-04,,,,,8.717979e-01,False,,,1.000000e+09,1.876956e+02,1.267019e+02,3.286314e+02,1.326400e-06,7.904387e+04,7.904538e+04,6.489706e-01,5.150765e+03
3.900000e+01,4.622000e-07,7.620000e-08,3.543000e+17,5.119000e-07,1.336000e-06,8.471000e-04,2.494126e+00,2.112774e+00,7.762881e+04,5.284155e+03,3.160122e+00,True,1.506558e+09,4.463815e+00,4.519675e+08,1.719106e+02,1.250655e+02,3.128703e+02,1.486000e-06,7.762540e+04,7.762884e+04,6.061744e-01,5.288814e+03
4.000000e+01,4.667000e-07,1.035000e-07,7.212000e+17,7.075000e-07,1.263000e-06,5.496000e-04,9.752032e-01,5.359717e-01,2.026179e+01,4.210566e+03,4.013093e+01,True,1.026350e+02,2.872656e-01,3.099159e+01,2.092036e+02,1.310563e+02,3.550888e+02,1.881700e-06,2.528165e-06,3.876274e+02,5.542329e-01,9.546804e+03
4.100000e+01,4.026000e-07,1.121000e-07,1.850000e+17,6.675000e-08,1.274000e-06,2.938000e-04,1.206451e+00,3.544554e-01,4.260181e+01,4.533690e+03,1.763387e+01,True,4.537287e+02,1.256386e-01,1.362065e+02,2.217767e+02,1.289547e+02,3.659202e+02,5.361000e-07,2.455313e-02,3.134532e+02,1.061686e+00,8.729964e+03
4.200000e+01,4.192000e-07,1.042000e-07,9.881000e+17,3.112000e-07,1.357000e-06,7.165000e-04,9.278912e-01,6.648340e-01,1.608082e+01,4.125090e+03,5.614690e+01,True,6.464817e+01,4.420043e-01,1.970386e+01,2.177868e+02,1.266795e+02,3.587721e+02,1.041600e-06,6.849625e-04,4.561571e+02,7.916320e-01,1.147375e+04
4.300000e+01,4.762000e-07,8.655000e-08,4.867000e+17,7.055000e-07,1.351000e-06,3.961000e-04,,,,,2.487662e+00,False,,,1.000000e+09,1.856341e+02,1.265967e+02,3.272081e+02,1.887200e-06,6.937360e+04,6.939988e+04,5.350318e-01,6.639527e+03
4.400000e+01,4.933000e-07,9.403000e-08,2.548000e+17,1.565000e-07,1.326000e-06,6.162000e-04,1.004666e+00,6.190755e-01,1.871157e+01,2.858646e+03,3.633166e+01,True,8.753075e+01,3.832545e-01,2.652750e+01,2.073632e+02,1.252433e+02,3.466910e+02,8.063000e-07,1.053623e-03,3.208071e+02,8.670474e-01,7.683659e+03
4.500000e+01,4.312000e-07,9.356000e-08,7.422000e+17,2.103000e-07,1.260000e-06,7.389000e-04,9.206508e-01,6.802688e-01,1.424740e+01,3.181479e+03,5.924566e+01,True,5.074710e+01,4.627657e-01,1.554807e+01,2.020915e+02,1.310822e+02,3.482337e+02,8.518000e-07,1.847839e-03,4.302483e+02,8.582846e-01,9.696254e+03
